data_id,review_count
0x488fa73e5e8ce16d:0x3115576cbcd6a4d9,91
0x488fa1c37fa9d0a7:0xf01319ee4f86e54e,925
0x488f9b4723071e57:0xeee3b419b6555d8b,666
0x488e6eebc0d2da6f:0x73de0ffe8a2a4fd3,351
0x488f0bb4806677b1:0x1c18df25941c406d,315
0x488e702e88f8432f:0xb5f46787a126cb,402
0x488f77fce38d5f75:0x14fb26acf6dead82,68
0x488e613b7719cbc9:0xb3a2e77dfb6d170c,331
0x488f1ceec9f7feb3:0xead70ea332fec19,164
0x488f117bb76078fb:0x36cecf1f6d95119e,845
0x48854599b955ffad:0x5e7bfed9be48a7cd,149
0x488e911862b29417:0xc34e8517c94b6a7a,91
0x488e9ba5c862fb2d:0x4d1c9663505e4224,391
0x488c2774d58fb413:0x2cbf49a21ae1120d,986
0x488f5f88cacc8655:0xb0e9e9e5a3987dd9,1008
0x488c1eaf493dc577:0x2225173483a6e17f,112
0x488c4d3f16c96c21:0x8f2c8969f1397158,101
0x488f9bded0fd56e3:0x163e8b5159a4d5c3,49
0x488eccadec60951b:0x2d64ea40e143ce91,3074
0x487a5fd9383c2095:0x83d7110ecc404cef,187
0x487a5ffe9d4e858f:0xcb6b2c44bce59dbd,50
0x487af5f59d00d871:0xb0f3c6ad46dedf50,172
0x487a5f5f7c2835df:0xc34a592e6bdc680b,411
0x487a5973bfcf4e0f:0x698cda873921a9f3,39
0x487ae266a3ceb1af:0xaf1d44b6dcfd70f8,146
0x487af5fbf41f9ed3:0xf5438bdced29d04b,70
0x487af9d0be6bb9c7:0xb0ed8f7fdb06a2ff,1819
0x487af5006854b41f:0x6781f9814506e76,334
0x487a5db99bf4ffd9:0x454ace2337e3907c,170
0x487a67e69f597671:0x35b7fefc60c59e06,245
0x487af1afdd3516b5:0xfcc8d43d92a63e18,884
0x487af6f99883ef19:0xa56bb9fdebbc7fb2,1012
0x487af425ccab9859:0xfd62c0c3308e145e,17
0x487a562fb24f492b:0x962487b809f182a3,1182
0x487af1317cdb888b:0xd93acf9154135626,92
0x487af75cec7d5b0b:0x152468973aee5fad,406
0x487af0acb4434799:0x55b4702c5a869abb,12
0x487af7a781351973:0x2d29b9369e42ce5,46
0x487af75818461651:0x84ec9c6155c34724,152
0x487af139a51a106f:0xb55b7ea7fdde05a3,219
0x487af6923bc39f73:0x96fbd83cc04fa703,209
0x487af706ef2980b1:0xfba2e78b72927a3b,122
0x487af9d106b2bd7d:0x76e765dd4f71a6a,73
0x487afa1468b7079f:0xecf72818e07895b0,285
0x487afac8a4be9cf3:0xeb20f9ecb20f1c81,344
0x487af461406ae213:0x781f8444d7f275f3,19
0x487af96a5ebdc747:0xa41a14a659246e10,21
0x487af16033f0fa2d:0xadc4f6af844cc791,1556
0x487aee1d6842b9a9:0x4b662cfe81515c3a,405
0x487af03e36db8623:0xda8136805a0d4fdb,71
0x487af5da63ee4f1d:0x3edd2ceeccded2ff,1564
0x487af42cc1f1d565:0x9e5e02ab9334c6e8,1710
0x487af08726633711:0x76496b0265c05549,412
0x487af5e009346dc1:0x37eed41c13f3f621,153
0x487af9fd64f76321:0x779eab38f1b861fc,74
0x487aee3a8b410713:0xf0e23b93c1fcba6,517
0x487af47b51e4d3b5:0x26b2915a15399a76,353
0x487af54688d130e1:0x1d01e5a71fc0d15b,485
0x487af466c1718407:0xd48a5ab57e27a18b,330
0x487af466ba62923f:0x81bc730834985287,1162
0x487af4615f45cbcf:0x6e8ba04a73657c0e,67
0x487af4615f45cbcf:0xd0ab078e7e01b6ec,380
0x487af4615ef06d57:0xe66adb3a40d995f5,666
0x487a5f50b87c8b4f:0xd0f788fe9d4c4212,68
0x487a5f7143b84dd5:0xa2b605b83b96e746,23
0x487afa4d2363d33b:0x4581814850c33682,299
0x487604d24c1e7bd3:0x314bae83752ad760,2794
0x89c7e2a3ceb3f2c1:0xa8593d50f0606b07,638
0x89e7b737fc43294b:0xdd756fd318255af,677
0x89c6fd1b8357642b:0xc24b263d9c117f50,1048
0x89c6fd753681fa63:0x580c4c91382da92b,164
0x89c6c726de9697d1:0xfd81d1db6a313e68,851
0x89c6c789d4b28917:0x1147785354bef04c,525
0x89c8049d580d8655:0x34c2170ac290c4f5,12461
0x89c80e17b38691db:0x51b6bfcb4d9e76b5,2671
0x89b1110050fc6a77:0x93c12bde2c9d3de8,11
0x89b16bcf8358a375:0x3ee1c1de61a4f7a3,86
0x89e4459032c41899:0x46b635c43750ca4b,187
0x89e445a83d604ea1:0x8d07f3419c80c813,194
0x89e445022773a1ff:0x51b488201517ce58,102
0x89e445887b1f37fd:0x74795fba83b02404,350
0x89b9df5eebabef6f:0xa1b15c902315a7da,1248
0x89e84923d28f07b7:0xb06a15c93e0983de,1855
0x89e83ecfdcc9c1fd:0x81b9ae1bf4705dc3,629
0x89e83ecfdcca0743:0xc949f5ca4fae965b,323
0x89e80817ca564169:0x6d9090562d014aed,216
0x89caab5e47f1aafd:0xeb7a303bb4889faa,317
0x89caaa57a362dc87:0x94a77fcfc0ed0a89,588
0x884ab278aaf55547:0xc41ad28a06b76087,334
0x88354d6b52bf887f:0x86985d3cd494c85d,74
0x89c80381afc1a84f:0x30a53dfe8650fdc4,407
0x89b7a16aaf925e15:0x7dd10409dc0c3d1a,1784
0x89c804f63367f715:0x5dc6baa9084a748b,2117
0x89c804f6ffbd96c9:0x13672da8c0b89822,1993
0x89c81d1c03746c37:0xf304365eb9933c9f,3806
0x89c28cda1bfbb495:0x981449d1d5a48c12,1356
0x31752f903e24b7cb:0x43891da637998cc9,413
0x31756ff455c7af81:0xd5acab5b903c9a22,140
0x31756f8d03a156c5:0x1efaecbeba8ba074,143
0x3175d5f22050a4ab:0x6303427d208142ee,42
0x3175b85d9c831b75:0x8ebd9d887196616,19
0x3175b857225fc627:0x3adf631f64a23384,38
0x3175c92ab31a221f:0x3b1c98c77af2c66d,1143
0x317433a697f6fcff:0x12576f7260e32f56,12
0x3176911ada59e431:0x6206f7ac0839a62d,217
0x3176ebb7ed8b8eef:0x451ef28849d8d05b,45
0x3176bfd7a7e187c5:0x74baf9d9bc864258,67
0x3176c3c420e62cf3:0xc851824fd732c68,33
0x3176c3d20c515f0d:0xdc01f3d0c155fb15,28
0x3176df005246e0a7:0x12949f99782dd6d3,40
0x3176d96fbceb21b5:0x96e7b8320b266cf1,1035
0x3175bdce196e48cb:0xcaaa5ee6cd2a82de,28
0x310ad47815b1db31:0x6989bc07c0199bd2,10
0x310ad414ea72be73:0xe36c661cc4c961f7,84
0x310ad4391fdedd7d:0xe481a280cf3265f2,93
