data_id,review_count
0x488ff5136a008651:0xddcd65a5b4795e19,24
0x48855fc7d86e4a0b:0xa583aaf8eeb5d55d,39
0x4885635195f44b15:0x59bd336569e75d23,13
0x488fe9869f39e4c3:0x243f9a07bb6d24c9,1540
0x4842eaa7edc2510b:0x3851cbf9d373a0de,786
0x4842eaa82c5d67dd:0x9f1cc6c28f28ad12,1496
0x4842c01d39ef5b5b:0x4c3cfb3f5b103d45,813
0x4842c263bdf53569:0xad7e2d69f5e9f84f,1051
0x4842c37b0747cd91:0xdf2b55da24b95dac,590
0x4842c30dab05a307:0xf1108dc91a7ada06,83
0x4842c32dfeae310f:0x3e80cf6a01233bd3,566
0x4842c2905fe59ab7:0x5ec790cc085df757,287
0x4842c69e9785786f:0xf33347357c11904a,266
0x4842c080693bb291:0xf073c5fc29adcbef,586
0x4842bee75da59403:0x7dff76ad1a89f884,938
0x4842c73b7b6e555d:0x15e71f6a41b06ac7,298
0x4842c415daaaaaab:0x3f46d45b36bbe621,86
0x4842c69bc3d8ec99:0xc80d5e021c283264,366
0x4842c69bc22a44f5:0x45ab5735f1461090,1282
0x4842c69a35f6f0bb:0x8e7ed23779d9be07,879
0x4842c69c3b9f5455:0x2a00eb2b12d8a872,1327
0x4842c69b8a61f847:0x33b043c6cd47c7b0,716
0x4842c426ed715b01:0x7b7c99882d469e40,161
0x4842c69cef8d2795:0x5f6bb7fa2946d52e,326
0x48435fcac7cd6915:0x86e1370ac65263b3,57
0x48449b8deb7803f3:0x4a3b443915de9b7d,60
0x484485e668468cf9:0xe015f89125b93a64,50
0x4842eb70ccf45e53:0x84baf10329967a28,397
0x4842952a458238bb:0xda618b8af51ce31a,59
0x4842eaa5fafe5243:0x5890a0d929d9a00,350
0x4842ea739dd20caf:0x94f1e4302773460d,32
0x4842eaa5e7e739a1:0xa8c0321bba9266ce,248
0x4842c289735416e7:0x92bba924647ca21f,211
0x4842c29036ccfa73:0x7db95c2903331fd6,414
0x4842c30fa31596db:0x1100d3f8cec40324,507
0x4842c28b91408a7b:0x43b72efd11b917cd,163
0x4842c28cfc540c33:0x4f56391881d5c89e,842
0x4842bdbb49cba757:0xda0fbf0e5ea08b4e,192
0x484323673a32e657:0x96f4743c5b5d8c20,1896
0x4842c6d1fa89a15f:0xecd6d5d9aac7cbee,687
0x4842c69edd7b2d0d:0x2d3e8c804b8635f5,280
